lane,company_name,founder_name,to_email,website,city,industry,phone,angle,why,source,subject
COMAI_DIRECT,Slurrp Farm,,mail@slurrpfarm.com,https://slurrpfarm.com,New Delhi,food,,,Existing automation may need upgrade,retry_failed_wave1,Slurrp Farm — WhatsApp AI that replies before customers bounce
COMAI_DIRECT,Farmley,,wecare@farmley.com,https://farmley.com,New Delhi,food,,,No AI automation — COMAI can provide 24/7 support + WhatsApp,retry_failed_wave1,Farmley — WhatsApp AI that replies before customers bounce
COMAI_DIRECT,DaMENSCH,,support@damensch.com,https://damensch.com,Mumbai,fashion,,,No chatbot — COMAI can automate customer support,retry_failed_wave1,DaMENSCH — WhatsApp AI that replies before customers bounce
COMAI_DIRECT,BlueStone,,cs@bluestone.com,https://bluestone.com,Bengaluru,jewellery,,,No AI automation — COMAI can provide 24/7 support + WhatsApp,retry_failed_wave1,BlueStone — WhatsApp AI that replies before customers bounce
COMAI_DIRECT,Nutrabay,,friends@nutrabay.com,https://nutrabay.com,New Delhi,health,,,Existing automation may need upgrade,retry_failed_wave1,Nutrabay — WhatsApp AI that replies before customers bounce
COMAI_DIRECT,Chumbak,,help@chumbak.in,https://chumbak.com,Bengaluru,home_decor,,,Existing automation may need upgrade,retry_failed_wave1,Chumbak — WhatsApp AI that replies before customers bounce
COMAI_PARTNER,Resultiq Digital,Akash Saini,info@resultiqdigital.com,https://resultiqdigital.com,Delhi NCR,Performance marketing for D2C,,Already runs Email & WhatsApp marketing for D2C — white-label COMAI deepens conversion layer,,retry_failed_wave1,Resultiq Digital × COMAI Agency Partner — white-label WhatsApp AI
COMAI_PARTNER,Brandscalez,Rohit Raj,info@brandscalez.com,https://brandscalez.com,Noida,Fashion/lifestyle D2C performance agency,,Scales D2C fashion brands on Meta/Google/WhatsApp Ads — COMAI converts post-click chats,,retry_failed_wave1,Brandscalez × COMAI Agency Partner — white-label WhatsApp AI
COMAI_PARTNER,Per4mance Guru,,hello@per4mance.guru,https://per4mance.guru,Delhi,Performance marketing agency,,D2C Meta/Google agency — add white-label WhatsApp AI as retention/conversion offer,,retry_failed_wave1,Per4mance Guru × COMAI Agency Partner — white-label WhatsApp AI
COMAI_PARTNER,PERFORMAKS,,growth@performaks.com,https://performaks.com,India,D2C performance & growth agency,,Shopify + performance stack for D2C — COMAI plugs conversation commerce gap,,retry_failed_wave1,PERFORMAKS × COMAI Agency Partner — white-label WhatsApp AI
COMAI_PARTNER,PurpleChalk,,hello@purplechalk.in,https://www.purplechalk.in,Chennai,Shopify + branding + WhatsApp/email automation agency,,Already offers WhatsApp automation — COMAI white-label upgrades to AI commerce employee,,retry_failed_wave1,PurpleChalk × COMAI Agency Partner — white-label WhatsApp AI
COMAI_PARTNER,Gravmo,Afzal Anis,mail@gravmo.in,https://www.gravmo.in,Delhi / Mumbai / Bangalore,Performance marketing,,eCommerce performance agency — partner lane for WhatsApp AI conversion,,retry_failed_wave1,Gravmo × COMAI Agency Partner — white-label WhatsApp AI
COMAI_PARTNER,Mobyink Innovations,Kapil Thakkar,info@mobyink.com,https://mobyink.com,Jaipur / UAE,D2C growth / Shopify partner agency,,"150+ D2C brands, Shopify partner — natural reseller for COMAI",,retry_failed_wave1,Mobyink Innovations × COMAI Agency Partner — white-label WhatsApp AI
COMAI_DIRECT,Premkala,Khyati Radadiya,care@premakala.in,https://premkala.in,Surat,Women's apparel D2C,,WhatsApp-heavy support (+91 70692 06000) — COMAI automates order/style queries 24/7,Active WhatsApp support channel; apparel D2C fit,retry_failed_wave1,Premkala — WhatsApp AI that replies before customers bounce
COMAI_DIRECT,Naitra Jewelry,,collab@naitra.in,https://www.naitra.in,Hyderabad,Jewellery D2C,,WhatsApp-first customer care — AI commerce replies for order/size/return questions,Jewellery D2C with WhatsApp support published,retry_failed_wave1,Naitra Jewelry — WhatsApp AI that replies before customers bounce
INOWIX_DIRECT,Graxi Tech Solutions,Sarankumar M,info@graxitechs.com,https://graxitechs.com,Bangalore / Chennai,Offshore / IT solutions for US-UK startups,,Helps US/UK startups build teams — co-delivery / overflow partnership on AI agents & custom SaaS with Inowix,,retry_failed_wave1,Graxi Tech Solutions × Inowix — co-delivery on AI & custom SaaS
COMAI_PARTNER,A3 Mediacom,Aditya Jain,aditya@a3mediacom.in,https://a3mediacom.in,Gurugram,D2C performance + retention marketing,+91 8384052488,You scale D2C across Meta/Google/marketplaces and already sell retention + website flows — COMAI white-label turns post-ad WhatsApp into a conversion channel your clients keep asking for,,a3mediacom.in/contact,A3 Mediacom × COMAI Agency Partner — white-label WhatsApp AI
COMAI_PARTNER,A3 Mediacom,Anubhav Mehta,anubhav@a3mediacom.in,https://a3mediacom.in,Gurugram,Growth & retention for D2C,+91 8384052488,Your retention/CRO work already owns the post-purchase journey — COMAI Agency Partner lets A3 white-label WhatsApp AI commerce without building the stack,,a3mediacom.in/contact,A3 Mediacom × COMAI Agency Partner — white-label WhatsApp AI
